row_index,student_id,pipeline_id,repetition,output_tokens_reported,approx_explanation_tokens,approx_non_explanation_tokens
69,132,improved,run1,12874,806,12068
70,132,improved,run2,12735,1476,11259
71,132,improved,run3,12588,1116,11472
72,134,original,run1,5296,1520,3776
73,134,original,run2,5291,2088,3203
74,134,original,run3,4581,1495,3086
75,134,improved,run1,13592,1517,12075
76,134,improved,run2,13322,1612,11710
77,134,improved,run3,14408,1480,12928
78,138,original,run1,4888,1314,3574
79,138,original,run2,5635,2541,3094
80,138,original,run3,7018,2075,4943
81,138,improved,run1,15218,1716,13502
82,138,improved,run2,11283,1583,9700
83,138,improved,run3,16321,1604,14717
84,139,original,run1,5546,1450,4096
85,139,original,run2,4843,1698,3145
86,139,original,run3,4217,1542,2675
87,139,improved,run1,14035,1462,12573
88,139,improved,run2,12044,1382,10662
89,139,improved,run3,13818,1586,12232
90,140,original,run1,4261,1492,2769
91,140,original,run2,5377,1523,3854
92,140,original,run3,6815,2275,4540
93,140,improved,run1,13663,1306,12357
94,140,improved,run2,10055,1213,8842
95,140,improved,run3,11337,1347,9990
96,141,original,run1,5296,1781,3515
97,141,original,run2,5151,1568,3583
98,141,original,run3,5138,2037,3101
99,141,improved,run1,13365,1525,11840
100,141,improved,run2,13102,1669,11433
101,141,improved,run3,12642,935,11707
102,142,original,run1,4939,1069,3870
103,142,original,run2,4891,1828,3063
104,142,original,run3,4002,1444,2558
105,142,improved,run1,14338,1468,12870
106,142,improved,run2,13096,1049,12047
107,142,improved,run3,14475,3046,11429
108,144,original,run1,5330,1744,3586
109,144,original,run2,5316,1900,3416
110,144,original,run3,4455,1327,3128
111,144,improved,run1,14812,1582,13230
112,144,improved,run2,12691,1628,11063
113,144,improved,run3,14372,1755,12617
114,152,original,run1,4160,1713,2447
115,152,original,run2,4260,1600,2660
116,152,original,run3,4402,1671,2731
117,152,improved,run1,13227,1687,11540
118,152,improved,run2,10284,1072,9212
119,152,improved,run3,12918,969,11949
120,153,original,run1,6870,3153,3717
121,153,original,run2,3913,1283,2630
122,153,original,run3,3724,1217,2507
123,153,improved,run1,11129,1245,9884
124,153,improved,run2,11892,1484,10408
125,153,improved,run3,10858,1091,9767
126,157,original,run1,4687,1606,3081
127,157,original,run2,4601,1902,2699
128,157,original,run3,4829,1533,3296
129,157,improved,run1,13930,1413,12517
130,157,improved,run2,15257,1662,13595
131,157,improved,run3,14282,1397,12885
132,158,original,run1,5207,1766,3441
133,158,original,run2,4406,1463,2943
134,158,original,run3,4529,1114,3415
135,158,improved,run1,12767,1317,11450
136,158,improved,run2,14360,1612,12748
137,158,improved,run3,14924,1575,13349
138,167,original,run1,6097,1499,4598
139,167,original,run2,4773,1476,3297
140,167,original,run3,6636,2242,4394
141,167,improved,run1,9865,1310,8555
142,167,improved,run2,9949,1349,8600
143,167,improved,run3,13560,1406,12154
144,22,original,run1,3964,1373,2591
145,22,original,run2,4406,2356,2050
146,22,original,run3,5194,1649,3545
147,22,improved,run1,12976,1444,11532
148,22,improved,run2,10630,1052,9578
149,22,improved,run3,13556,1167,12389
150,24,original,run1,6863,1895,4968
151,24,original,run2,5454,1433,4021
152,24,original,run3,5371,1468,3903
153,24,improved,run1,16107,1288,14819
154,24,improved,run2,15117,1301,13816
155,24,improved,run3,13408,1315,12093
156,27,original,run1,5396,1660,3736
157,27,original,run2,4672,1676,2996
158,27,original,run3,4134,1332,2802
159,27,improved,run1,15340,1422,13918
160,27,improved,run2,14252,1593,12659
161,27,improved,run3,12605,1348,11257
162,30,original,run1,6887,1764,5123
163,30,original,run2,6042,1625,4417
164,30,original,run3,4275,1576,2699
165,30,improved,run1,12000,1373,10627
166,30,improved,run2,10542,839,9703
167,30,improved,run3,13052,1327,11725
168,31,original,run1,4937,2047,2890
169,31,original,run2,4513,1002,3511
170,31,original,run3,4804,2100,2704
171,31,improved,run1,9537,1288,8249
172,31,improved,run2,12797,1370,11427
173,31,improved,run3,13497,1443,12054
174,32,original,run1,5783,1531,4252
175,32,original,run2,5126,1791,3335
176,32,original,run3,6352,2707,3645
177,32,improved,run1,14763,1683,13080
178,32,improved,run2,15181,1584,13597
179,32,improved,run3,14501,1370,13131
180,36,original,run1,4648,1713,2935
181,36,original,run2,5005,1973,3032
182,36,original,run3,5667,1365,4302
183,36,improved,run1,11969,1177,10792
184,36,improved,run2,14096,1300,12796
185,36,improved,run3,14019,1472,12547
186,38,original,run1,5445,1868,3577
187,38,original,run2,5661,1439,4222
188,38,original,run3,4115,1152,2963
189,38,improved,run1,12930,1365,11565
190,38,improved,run2,12530,1235,11295
191,38,improved,run3,15127,1639,13488
192,39,original,run1,4410,1461,2949
193,39,original,run2,3289,1204,2085
194,39,original,run3,3998,1853,2145
195,39,improved,run1,15354,1182,14172
196,39,improved,run2,13555,1150,12405
197,39,improved,run3,15193,1316,13877
198,4,original,run1,5990,1676,4314
199,4,original,run2,5651,1552,4099
200,4,original,run3,4978,1879,3099
201,4,improved,run1,16472,1402,15070
202,4,improved,run2,11407,1214,10193
203,4,improved,run3,12921,1367,11554
204,44,original,run1,5273,1177,4096
205,44,original,run2,5088,1317,3771
206,44,original,run3,3802,1202,2600
207,44,improved,run1,11546,1276,10270
208,44,improved,run2,12767,1465,11302
209,44,improved,run3,13367,1500,11867
210,50,original,run1,5048,1562,3486
211,50,original,run2,4225,1535,2690
212,50,original,run3,4096,1029,3067
213,50,improved,run1,14807,1075,13732
214,50,improved,run2,13538,1257,12281
215,50,improved,run3,10592,1373,9219
216,54,original,run1,7450,2157,5293
217,54,original,run2,7053,2094,4959
218,54,original,run3,6671,1996,4675
219,54,improved,run1,14218,1422,12796
220,54,improved,run2,10618,1130,9488
221,54,improved,run3,14407,1536,12871
222,57,original,run1,6968,1940,5028
223,57,original,run2,6717,2039,4678
224,57,original,run3,4084,1509,2575
225,57,improved,run1,13751,1048,12703
226,57,improved,run2,2413,1604,809
227,57,improved,run3,14427,1129,13298
228,60,original,run1,5497,1784,3713
229,60,original,run2,5389,1702,3687
230,60,original,run3,3983,1695,2288
231,60,improved,run1,11970,1233,10737
232,60,improved,run2,14161,1339,12822
233,60,improved,run3,10981,1443,9538
234,61,original,run1,5417,1560,3857
235,61,original,run2,4078,1475,2603
236,61,original,run3,7282,1884,5398
237,61,improved,run1,10749,1206,9543
238,61,improved,run2,13154,1237,11917
239,61,improved,run3,13930,1241,12689
240,62,original,run1,5907,2510,3397
241,62,original,run2,5617,1676,3941
242,62,original,run3,5133,1373,3760
243,62,improved,run1,14631,1420,13211
244,62,improved,run2,12424,1634,10790
245,62,improved,run3,15152,1451,13701
246,63,original,run1,6172,2224,3948
247,63,original,run2,7599,2349,5250
248,63,original,run3,7036,2004,5032
249,63,improved,run1,12143,1217,10926
250,63,improved,run2,15432,1434,13998
251,63,improved,run3,12677,1144,11533
252,64,original,run1,4715,1648,3067
253,64,original,run2,4115,1458,2657
254,64,original,run3,3403,1324,2079
255,64,improved,run1,13183,969,12214
256,64,improved,run2,12281,1462,10819
257,64,improved,run3,12275,1308,10967
258,66,original,run1,4529,1426,3103
259,66,original,run2,5348,1626,3722
260,66,original,run3,4886,1691,3195
261,66,improved,run1,12918,1325,11593
262,66,improved,run2,9815,1225,8590
263,66,improved,run3,13529,1389,12140
264,68,original,run1,6200,1698,4502
265,68,original,run2,4906,1804,3102
266,68,original,run3,5427,1229,4198
267,68,improved,run1,11307,1640,9667
268,68,improved,run2,13554,1195,12359
269,68,improved,run3,9173,1433,7740
270,71,original,run1,5424,2077,3347
271,71,original,run2,4840,1650,3190
272,71,original,run3,4544,1493,3051
273,71,improved,run1,12059,1111,10948
274,71,improved,run2,12940,1609,11331
275,71,improved,run3,12057,1198,10859
276,80,original,run1,4756,1575,3181
277,80,original,run2,4641,1280,3361
278,80,original,run3,4831,1739,3092
279,80,improved,run1,15082,1452,13630
280,80,improved,run2,14194,1343,12851
281,80,improved,run3,11623,1452,10171
282,92,original,run1,4339,1624,2715
283,92,original,run2,4962,1489,3473
284,92,original,run3,6873,1933,4940
285,92,improved,run1,12556,1226,11330
286,92,improved,run2,13339,1379,11960
287,92,improved,run3,14422,1488,12934
288,95,original,run1,6476,1619,4857
289,95,original,run2,6238,1404,4834
290,95,original,run3,5697,1363,4334
291,95,improved,run1,11626,870,10756
292,95,improved,run2,12983,1577,11406
293,95,improved,run3,17518,1675,15843
294,97,original,run1,5379,1715,3664
295,97,original,run2,5656,1769,3887
296,97,original,run3,4353,1489,2864
297,97,improved,run1,13594,1763,11831
298,97,improved,run2,14646,1062,13584
299,97,improved,run3,10711,852,9859
